state,x,y
Arizona,-203,-40
Arkansas,57,-53
California,-297,13
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,182,-75
Idaho,-216,122
Illinois,95,37
Indiana,133,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,1
Louisiana,59,-114
Maine,319,164
Massachusetts,280,112
Michigan,148,101
Minnesota,23,135
Mississippi,94,-85
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,275,127
New Jersey,282,60
New Mexico,-128,-43
North Carolina,239,-22
North Dakota,-44,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,72
Rhode Island,290,80
South Carolina,218,-51
South Dakota,-44,109
Tennessee,131,-34
Utah,-189,34
Vermont,282,154
Virginia,234,7
Washington,-257,193
West Virginia,200,20
Wisconsin,83,113
Wyoming,-134,90
